"SITUACAO_CC","DURACAO_EMPRESTIMO","HISTORICO_CREDITO","PROPOSITO","TOTAL_CREDITO","POUPANCA","EMPREGADO_DESDE","TAXA_PAGTO","GENERO_ESTADO_CIVIL","DEVEDOR_FIADOR","ANOS_RESIDENCIA","BENS","IDADE","OUTROS_EMPRESTIMOS","HABITACAO","CREDITOS_EXISTENTES","TRABALHO","Number of people being liable to provide maintenance for","TELEFONE","TRABALHADOR_ESTRANGEIRO","Score"
"Não Possui CC",36,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",11054,"desconhecido/sem conta poupança","1 a 4 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",30,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",6,"créditos existentes pagos devidamente até agora","rádio/televisão",518,"menos de 100","1 a 4 anos",3,"mulher (divorciada/separada/casada)","Nenhum",1,"imóvel",29,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",12,"nenhum crédito recebido / todos os créditos pagos devidamente","móveis/equipamentos",2759,"menos de 100","mais de 7 anos",2,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",34,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","carro (usado)",2670,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",35,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","carro (novo)",4817,"menos de 100","4 a 7 anos",2,"masculino (solteiro)","co-requerente",3,"contrato de poupança/seguro de vida da sociedade de construção",31,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","carro (usado)",2679,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",1,"desconhecido/sem propriedade",29,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",11,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",3905,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"imóvel",36,"Nenhum","aluguel",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
"Negativa",12,"créditos existentes pagos devidamente até agora","carro (usado)",3386,"menos de 100","mais de 7 anos",3,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",35,"Nenhum","de graça",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Negativa",6,"créditos existentes pagos devidamente até agora","eletrodomésticos",343,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",1,"imóvel",27,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",18,"créditos existentes pagos devidamente até agora","rádio/televisão",4594,"menos de 100","menos de 1 ano",3,"masculino (solteiro)","Nenhum",2,"carro ou outro",32,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",36,"créditos existentes pagos devidamente até agora","móveis/equipamentos",3620,"menos de 100","1 a 4 anos",1,"masculino (solteiro)","fiador",2,"contrato de poupança/seguro de vida da sociedade de construção",37,"Nenhum","próprio",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
"Negativa",15,"créditos existentes pagos devidamente até agora","carro (novo)",1721,"menos de 100","menos de 1 ano",2,"masculino (solteiro)","Nenhum",3,"imóvel",36,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","móveis/equipamentos",3017,"menos de 100","menos de 1 ano",3,"mulher (divorciada/separada/casada)","Nenhum",1,"imóvel",34,"Nenhum","aluguel",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"Nenhum","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","reciclagem",754,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",38,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",18,"créditos existentes pagos devidamente até agora","negócios",1950,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",1,"carro ou outro",34,"lojas","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","carro (usado)",2924,"menos de 100","1 a 4 anos",3,"masculino (solteiro)","fiador",4,"desconhecido/sem propriedade",63,"banco","próprio",1,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",24,"atraso no pagamento no passado","rádio/televisão",1659,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",29,"Nenhum","aluguel",1,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",48,"atraso no pagamento no passado","rádio/televisão",7238,"desconhecido/sem conta poupança","mais de 7 anos",3,"masculino (solteiro)","Nenhum",3,"carro ou outro",32,"banco","próprio",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
"Não Possui CC",33,"atraso no pagamento no passado","negócios",2764,"menos de 100","1 a 4 anos",2,"mulher (divorciada/separada/casada)","Nenhum",2,"carro ou outro",26,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",24,"atraso no pagamento no passado","carro (usado)",4679,"menos de 100","4 a 7 anos",3,"masculino (solteiro)","Nenhum",3,"carro ou outro",35,"Nenhum","próprio",2,"não qualificado - residente",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",24,"créditos existentes pagos devidamente até agora","rádio/televisão",3092,"100 a 500","menos de 1 ano",3,"homem (casado/viúvo)","Nenhum",2,"carro ou outro",22,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Negativa",6,"créditos existentes pagos devidamente até agora","Educação",448,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",23,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",9,"créditos existentes pagos devidamente até agora","carro (novo)",654,"menos de 100","1 a 4 anos",4,"masculino (solteiro)","Nenhum",3,"carro ou outro",28,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","ruim"
"Não Possui CC",6,"créditos existentes pagos devidamente até agora","reciclagem",1238,"desconhecido/sem conta poupança","Desempregado",4,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",36,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",2,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",18,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1245,"menos de 100","1 a 4 anos",4,"homem (casado/viúvo)","Nenhum",2,"carro ou outro",33,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",18,"nenhum crédito recebido / todos os créditos pagos devidamente","móveis/equipamentos",3114,"menos de 100","menos de 1 ano",1,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",26,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",39,"créditos existentes pagos devidamente até agora","carro (usado)",2569,"500 a 1000","1 a 4 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",24,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Acima de 200",24,"créditos existentes pagos devidamente até agora","rádio/televisão",5152,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",25,"banco","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","negócios",1037,"100 a 500","4 a 7 anos",3,"masculino (solteiro)","Nenhum",4,"imóvel",39,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Negativa",15,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",1478,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"carro ou outro",44,"Nenhum","próprio",2,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",12,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",3573,"menos de 100","1 a 4 anos",1,"mulher (divorciada/separada/casada)","Nenhum",1,"imóvel",23,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"0 - 200",24,"créditos existentes pagos devidamente até agora","carro (novo)",1201,"menos de 100","menos de 1 ano",4,"masculino (solteiro)","Nenhum",1,"contrato de poupança/seguro de vida da sociedade de construção",26,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",30,"créditos existentes pagos devidamente até agora","móveis/equipamentos",3622,"mais de 1000","mais de 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",57,"Nenhum","aluguel",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",15,"atraso no pagamento no passado","móveis/equipamentos",960,"mais de 1000","4 a 7 anos",3,"mulher (divorciada/separada/casada)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",30,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",1163,"500 a 1000","1 a 4 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",44,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",6,"atraso no pagamento no passado","carro (novo)",1209,"menos de 100","Desempregado",4,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",47,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",12,"créditos existentes pagos devidamente até agora","rádio/televisão",3077,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",4,"carro ou outro",52,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","carro (novo)",3757,"menos de 100","mais de 7 anos",4,"mulher (divorciada/separada/casada)","co-requerente",4,"desconhecido/sem propriedade",62,"Nenhum","de graça",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",10,"créditos existentes pagos devidamente até agora","carro (novo)",1418,"100 a 500","1 a 4 anos",3,"masculino (solteiro)","Nenhum",2,"imóvel",35,"Nenhum","aluguel",1,"não qualificado - residente",1,"Nenhum","Não","bom"
"Não Possui CC",6,"créditos existentes pagos devidamente até agora","carro (novo)",3518,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","fiador",3,"contrato de poupança/seguro de vida da sociedade de construção",26,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1934,"menos de 100","mais de 7 anos",2,"masculino (solteiro)","Nenhum",2,"desconhecido/sem propriedade",26,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",27,"nenhum crédito recebido / todos os créditos pagos devidamente","negócios",8318,"menos de 100","mais de 7 anos",2,"mulher (divorciada/separada/casada)","Nenhum",4,"desconhecido/sem propriedade",42,"Nenhum","de graça",2,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",6,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1237,"100 a 500","1 a 4 anos",1,"mulher (divorciada/separada/casada)","Nenhum",1,"contrato de poupança/seguro de vida da sociedade de construção",27,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",6,"créditos existentes pagos devidamente até agora","rádio/televisão",368,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",38,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",12,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",2122,"menos de 100","1 a 4 anos",3,"masculino (solteiro)","Nenhum",2,"imóvel",39,"Nenhum","aluguel",2,"não qualificado - residente",2,"Nenhum","Não","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","móveis/equipamentos",2996,"desconhecido/sem conta poupança","1 a 4 anos",2,"homem (casado/viúvo)","Nenhum",4,"carro ou outro",20,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"0 - 200",36,"créditos existentes pagos devidamente até agora","móveis/equipamentos",9034,"100 a 500","menos de 1 ano",4,"masculino (solteiro)","co-requerente",1,"desconhecido/sem propriedade",29,"Nenhum","aluguel",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",24,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",1585,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",40,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",18,"créditos existentes pagos devidamente até agora","rádio/televisão",1301,"menos de 100","mais de 7 anos",4,"homem (casado/viúvo)","fiador",2,"imóvel",32,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Acima de 200",6,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",1323,"100 a 500","mais de 7 anos",2,"homem (divorciado/separado)","Nenhum",4,"carro ou outro",28,"Nenhum","próprio",2,"funcionário/funcionário qualificado",2,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",24,"créditos existentes pagos devidamente até agora","carro (novo)",3123,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",1,"contrato de poupança/seguro de vida da sociedade de construção",27,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",36,"créditos existentes pagos devidamente até agora","carro (usado)",5493,"menos de 100","mais de 7 anos",2,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",42,"Nenhum","de graça",1,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
"Acima de 200",9,"créditos existentes pagos devidamente até agora","rádio/televisão",1126,"100 a 500","mais de 7 anos",2,"homem (divorciado/separado)","Nenhum",4,"imóvel",49,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",24,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1216,"100 a 500","menos de 1 ano",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",38,"banco","próprio",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","ruim"
"Negativa",24,"créditos existentes pagos devidamente até agora","carro (novo)",1207,"menos de 100","menos de 1 ano",4,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",24,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",10,"créditos existentes pagos devidamente até agora","carro (novo)",1309,"desconhecido/sem conta poupança","1 a 4 anos",4,"masculino (solteiro)","fiador",4,"contrato de poupança/seguro de vida da sociedade de construção",27,"Nenhum","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","ruim"
"Acima de 200",15,"conta crítica/outros créditos existentes (não neste banco)","carro (usado)",2360,"500 a 1000","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"carro ou outro",36,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",15,"todos os créditos neste banco foram devidamente pagos","carro (novo)",6850,"100 a 500","Desempregado",1,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",34,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",2,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","rádio/televisão",1413,"menos de 100","1 a 4 anos",4,"homem (casado/viúvo)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",28,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",39,"créditos existentes pagos devidamente até agora","carro (usado)",8588,"100 a 500","mais de 7 anos",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",45,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",12,"créditos existentes pagos devidamente até agora","carro (novo)",759,"menos de 100","4 a 7 anos",4,"masculino (solteiro)","Nenhum",2,"imóvel",26,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",36,"créditos existentes pagos devidamente até agora","carro (usado)",4686,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",2,"desconhecido/sem propriedade",32,"Nenhum","de graça",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"Acima de 200",15,"créditos existentes pagos devidamente até agora","negócios",2687,"menos de 100","4 a 7 anos",2,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",26,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",12,"atraso no pagamento no passado","rádio/televisão",585,"menos de 100","1 a 4 anos",4,"homem (casado/viúvo)","co-requerente",4,"imóvel",20,"Nenhum","aluguel",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","carro (novo)",2255,"desconhecido/sem conta poupança","menos de 1 ano",4,"masculino (solteiro)","Nenhum",1,"contrato de poupança/seguro de vida da sociedade de construção",54,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",6,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",609,"menos de 100","4 a 7 anos",4,"mulher (divorciada/separada/casada)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",37,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Não","bom"
"Negativa",6,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",1361,"menos de 100","menos de 1 ano",2,"masculino (solteiro)","Nenhum",4,"imóvel",40,"Nenhum","próprio",1,"não qualificado - residente",2,"Nenhum","Não","bom"
"Não Possui CC",36,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",7127,"menos de 100","menos de 1 ano",2,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",23,"Nenhum","aluguel",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Negativa",6,"créditos existentes pagos devidamente até agora","carro (novo)",1203,"100 a 500","mais de 7 anos",3,"masculino (solteiro)","Nenhum",2,"contrato de poupança/seguro de vida da sociedade de construção",43,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",6,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",700,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",36,"Nenhum","de graça",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",24,"conta crítica/outros créditos existentes (não neste banco)","reparos",5507,"menos de 100","mais de 7 anos",3,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",44,"Nenhum","de graça",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Negativa",18,"créditos existentes pagos devidamente até agora","rádio/televisão",3190,"menos de 100","1 a 4 anos",2,"mulher (divorciada/separada/casada)","Nenhum",2,"imóvel",24,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",48,"nenhum crédito recebido / todos os créditos pagos devidamente","móveis/equipamentos",7119,"menos de 100","1 a 4 anos",3,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",53,"Nenhum","de graça",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","ruim"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","carro (usado)",3488,"100 a 500","4 a 7 anos",3,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",23,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"0 - 200",18,"créditos existentes pagos devidamente até agora","rádio/televisão",1113,"menos de 100","1 a 4 anos",4,"mulher (divorciada/separada/casada)","fiador",4,"imóvel",26,"Nenhum","próprio",1,"não qualificado - residente",2,"Nenhum","Sim","bom"
"0 - 200",26,"créditos existentes pagos devidamente até agora","carro (usado)",7966,"menos de 100","menos de 1 ano",2,"masculino (solteiro)","Nenhum",3,"carro ou outro",30,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",15,"conta crítica/outros créditos existentes (não neste banco)","Educação",1532,"100 a 500","1 a 4 anos",4,"mulher (divorciada/separada/casada)","Nenhum",3,"carro ou outro",31,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",4,"conta crítica/outros créditos existentes (não neste banco)","rádio/televisão",1503,"menos de 100","4 a 7 anos",2,"masculino (solteiro)","Nenhum",1,"imóvel",42,"Nenhum","próprio",2,"não qualificado - residente",2,"Nenhum","Sim","bom"
"Negativa",36,"créditos existentes pagos devidamente até agora","rádio/televisão",2302,"menos de 100","1 a 4 anos",4,"homem (divorciado/separado)","Nenhum",4,"carro ou outro",31,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",6,"créditos existentes pagos devidamente até agora","carro (novo)",662,"menos de 100","menos de 1 ano",3,"masculino (solteiro)","Nenhum",4,"imóvel",41,"Nenhum","próprio",1,"não qualificado - residente",2,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",36,"créditos existentes pagos devidamente até agora","Educação",2273,"menos de 100","4 a 7 anos",3,"masculino (solteiro)","Nenhum",1,"carro ou outro",32,"Nenhum","próprio",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","bom"
"0 - 200",15,"créditos existentes pagos devidamente até agora","carro (novo)",2631,"100 a 500","1 a 4 anos",2,"mulher (divorciada/separada/casada)","Nenhum",4,"carro ou outro",28,"Nenhum","aluguel",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","ruim"
"Não Possui CC",12,"atraso no pagamento no passado","carro (usado)",1503,"menos de 100","1 a 4 anos",4,"homem (casado/viúvo)","Nenhum",4,"imóvel",41,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","rádio/televisão",1311,"100 a 500","4 a 7 anos",4,"homem (casado/viúvo)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",26,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Não Possui CC",24,"créditos existentes pagos devidamente até agora","rádio/televisão",3105,"desconhecido/sem conta poupança","menos de 1 ano",4,"masculino (solteiro)","Nenhum",2,"carro ou outro",25,"Nenhum","próprio",2,"funcionário/funcionário qualificado",1,"Nenhum","Sim","bom"
"Acima de 200",21,"conta crítica/outros créditos existentes (não neste banco)","Educação",2319,"menos de 100","menos de 1 ano",2,"homem (divorciado/separado)","Nenhum",1,"carro ou outro",33,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Negativa",6,"créditos existentes pagos devidamente até agora","carro (novo)",1374,"desconhecido/sem conta poupança","Desempregado",4,"mulher (divorciada/separada/casada)","Nenhum",3,"contrato de poupança/seguro de vida da sociedade de construção",75,"Nenhum","próprio",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"sim, registrado em nome do cliente","Sim","bom"
"0 - 200",18,"conta crítica/outros créditos existentes (não neste banco)","móveis/equipamentos",3612,"menos de 100","mais de 7 anos",3,"mulher (divorciada/separada/casada)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",37,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",48,"créditos existentes pagos devidamente até agora","carro (novo)",7763,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",42,"banco","de graça",1,"gerente / autônomo / funcionário altamente qualificado / diretor",1,"Nenhum","Sim","ruim"
"Acima de 200",18,"créditos existentes pagos devidamente até agora","móveis/equipamentos",3049,"menos de 100","menos de 1 ano",1,"mulher (divorciada/separada/casada)","Nenhum",1,"contrato de poupança/seguro de vida da sociedade de construção",45,"lojas","próprio",1,"não qualificado - residente",1,"Nenhum","Sim","bom"
"0 - 200",12,"créditos existentes pagos devidamente até agora","rádio/televisão",1534,"menos de 100","menos de 1 ano",1,"homem (casado/viúvo)","Nenhum",1,"imóvel",23,"Nenhum","aluguel",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Não Possui CC",24,"atraso no pagamento no passado","carro (novo)",2032,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"desconhecido/sem propriedade",60,"Nenhum","de graça",2,"funcionário/funcionário qualificado",1,"sim, registrado em nome do cliente","Sim","bom"
"Negativa",30,"créditos existentes pagos devidamente até agora","móveis/equipamentos",6350,"desconhecido/sem conta poupança","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"contrato de poupança/seguro de vida da sociedade de construção",31,"Nenhum","próprio",1,"funcionário/funcionário qualificado",1,"Nenhum","Sim","ruim"
"Acima de 200",18,"créditos existentes pagos devidamente até agora","móveis/equipamentos",2864,"menos de 100","1 a 4 anos",2,"masculino (solteiro)","Nenhum",1,"imóvel",34,"Nenhum","próprio",1,"não qualificado - residente",2,"Nenhum","Sim","ruim"
"Não Possui CC",12,"conta crítica/outros créditos existentes (não neste banco)","carro (novo)",1255,"menos de 100","mais de 7 anos",4,"masculino (solteiro)","Nenhum",4,"imóvel",61,"Nenhum","próprio",2,"não qualificado - residente",1,"Nenhum","Sim","bom"
"Negativa",24,"atraso no pagamento no passado","carro (novo)",1333,"menos de 100","Desempregado",4,"masculino (solteiro)","Nenhum",2,"imóvel",43,"Nenhum","de graça",2,"funcionário/funcionário qualificado",2,"Nenhum","Sim","ruim"
